city,lat,lng,max_temp,humidity,cloudiness,wind_speed,country,date
San Cristobal,7.7669,-72.225,299.25,76,89,1.53,VE,1633988562
Zavyalovo,54.5053,82.4484,272.18,69,100,5.4,RU,1633988562
Lalibela,12.0333,39.0333,288.29,74,96,2.44,ET,1633988563
Were Īlu,10.6,39.4333,284.3,85,83,2.52,ET,1633988563
Itaituba,-4.2761,-55.9836,305.24,66,0,1.54,BR,1633988563
Narasannapeta,18.4167,84.05,298.43,81,24,2.68,IN,1633988564
Voyvozh,62.892,54.9635,278.63,99,100,2.52,RU,1633988564
Port Lincoln,-34.7333,135.8667,286.48,50,100,8.06,AU,1633988564
Warri,5.5167,5.75,298.4,92,71,1.61,NG,1633988565
Sur,22.5667,59.5289,300.92,48,0,1.89,OM,1633988565
Berlevåg,70.8578,29.0864,280.12,93,75,6.17,NO,1633988565
Muli,2.9167,73.5667,301.09,76,84,8.2,MV,1633988566
Campbell River,50.0163,-125.2446,284.04,68,40,1.79,CA,1633988441
Noyabrsk,63.1994,75.4507,270.75,69,83,2.76,RU,1633988566
Machiques,10.0644,-72.545,301.87,75,100,1.97,VE,1633988566
Itapirapuã,-15.8233,-50.6133,297.49,81,95,0.67,BR,1633988567
Todos Santos,23.45,-110.2167,307.6,79,36,2.67,MX,1633988567
Lázaro Cárdenas,17.9583,-102.2,302.19,73,25,2.63,MX,1633988567
Adrar,20.5022,-10.0711,304.82,14,38,1.07,MR,1633988568
Saint George,37.1041,-113.5841,298.41,18,1,6.26,US,1633988300
Beltinci,46.6053,16.2406,279.92,91,62,1.4,SI,1633988568
Geraldton,-28.7667,114.6,286.38,62,90,5.66,AU,1633988569
Haverfordwest,51.8017,-4.9691,284.01,83,30,1.99,GB,1633988569
Aklavik,68.2191,-135.0107,271.61,78,96,4.8,CA,1633988569
Carballo,43.213,-8.691,289.13,78,33,1.5,ES,1633988570
Bonavista,48.6499,-53.1147,282.15,75,2,7.16,CA,1633988570
Yeppoon,-23.1333,150.7333,296.03,70,82,2.36,AU,1633988570
Kahului,20.8947,-156.47,302.74,80,40,8.75,US,1633988444
Neyvo-Rudyanka,57.3444,60.1343,280.0,90,100,4.72,RU,1633988571
Lixouri,38.2019,20.4314,291.38,74,71,5.47,GR,1633988571
Kutum,14.2,24.6667,302.11,29,99,4.14,SD,1633988571
Dengzhou,37.8086,120.7508,287.34,54,0,5.27,CN,1633988572
Banda Aceh,5.5577,95.3222,299.37,76,98,6.62,ID,1633988572
Kungurtug,50.5994,97.5228,272.67,83,100,0.69,RU,1633988572
Santa Isabel,-23.3156,-46.2214,292.96,97,97,2.49,BR,1633988573
Chokurdakh,70.6333,147.9167,264.88,89,100,2.35,RU,1633988573
Namwala,-15.7504,26.4384,295.95,44,0,4.54,ZM,1633988574
Noril'sk,69.3535,88.2027,266.07,95,100,2.22,RU,1633988574
Khandyga,62.6667,135.6,270.4,94,95,2.93,RU,1633988574
Las Palmas,28.4204,-14.0131,293.59,73,20,4.12,ES,1633988575
Sakakah,29.9697,40.2064,301.91,19,34,0.89,SA,1633988575
Meridian,43.6121,-116.3915,286.62,31,1,5.36,US,1633988522
Sítio Novo do Tocantins,-5.5183,-47.4611,304.45,44,100,2.38,BR,1633988575
Samarai,-10.6167,150.6667,299.6,82,82,0.77,PG,1633988576
Guelph,43.5501,-80.2497,297.65,69,20,5.66,CA,1633988576
North Bend,43.4065,-124.2243,287.68,75,1,4.63,US,1633988576
Maracaibo,10.6317,-71.6406,302.81,68,95,1.83,VE,1633988577
Shibetsu,43.659,145.132,284.77,76,4,3.26,JP,1633988577
Cherskiy,68.75,161.3,254.28,99,39,1.45,RU,1633988578
Yumen,40.2833,97.2,280.01,22,100,9.74,CN,1633988578
Clyde River,70.4692,-68.5914,278.28,60,75,16.46,CA,1633988337
Sioux Lookout,50.1001,-91.917,289.19,88,90,5.66,CA,1633988577
Boyolali,-7.5331,110.5958,292.91,89,93,3.35,ID,1633988579
Wenatchee,47.4235,-120.3103,289.57,29,1,0.89,US,1633988465
Casa Nova,-9.4167,-41.1333,306.14,35,0,0.96,BR,1633988579
Narsaq,60.9167,-46.05,274.27,54,100,2.03,GL,1633988579
